DoctorKey,DoctorID,FirstName,LastName,FullName,Gender,Specialization,Qualification,ExperienceYears,DepartmentKey,HospitalKey,ConsultationFee,IsActive
1,DOC0001,Beth,Johnson,Dr. Beth Johnson,Female,Psychiatry,DM,14,2,1,536,True
2,DOC0002,Brianna,Barber,Dr. Brianna Barber,Male,Pathology,MS,36,14,7,212,True
3,DOC0003,Donald,Delacruz,Dr. Donald Delacruz,Male,Obstetrics,MCh,3,16,3,102,True
4,DOC0004,Craig,Davis,Dr. Craig Davis,Female,Urology,DM,2,5,9,291,True
5,DOC0005,Shelly,Ramirez,Dr. Shelly Ramirez,Male,Urology,MS,17,13,15,559,True
6,DOC0006,Andrew,Collins,Dr. Andrew Collins,Male,Obstetrics,MCh,1,7,4,547,True
7,DOC0007,Richard,Williams,Dr. Richard Williams,Female,ICU,FACC,2,8,6,147,True
8,DOC0008,Todd,Gallegos,Dr. Todd Gallegos,Male,Oncology,PhD,8,11,7,557,True
9,DOC0009,Jimmy,Banks,Dr. Jimmy Banks,Male,Neurology,PhD,4,5,12,195,True
10,DOC0010,Amber,Johnson,Dr. Amber Johnson,Male,Cardiology,FACC,32,16,15,605,True
11,DOC0011,Nicole,George,Dr. Nicole George,Male,Ophthalmology,DO,5,8,2,474,True
12,DOC0012,Steven,Nelson,Dr. Steven Nelson,Male,Obstetrics,MS,21,10,8,144,True
13,DOC0013,Mark,Wilson,Dr. Mark Wilson,Female,Obstetrics,DM,28,17,12,312,True
14,DOC0014,Denise,Pearson,Dr. Denise Pearson,Male,Urology,MCh,25,5,1,663,False
15,DOC0015,Allison,Foster,Dr. Allison Foster,Female,Obstetrics,MCh,26,10,13,374,True
16,DOC0016,William,Dickerson,Dr. William Dickerson,Male,Pulmonology,MD,14,20,4,566,True
17,DOC0017,Daniel,Collins,Dr. Daniel Collins,Male,Neurology,MD,35,8,8,611,True
18,DOC0018,Jill,Jordan,Dr. Jill Jordan,Male,Oncology,DM,3,3,15,72,True
19,DOC0019,Angela,Martinez,Dr. Angela Martinez,Female,Rheumatology,FACC,5,6,10,748,True
20,DOC0020,Logan,Munoz,Dr. Logan Munoz,Male,Dermatology,FRCS,34,20,15,301,True
21,DOC0021,Brittany,Foster,Dr. Brittany Foster,Male,Oncology,MRCP,3,16,10,645,True
22,DOC0022,Mark,Carroll,Dr. Mark Carroll,Female,Pathology,MD,8,17,4,400,True
23,DOC0023,Craig,Hancock,Dr. Craig Hancock,Female,Radiology,MCh,7,6,11,482,True
24,DOC0024,Anna,Rush,Dr. Anna Rush,Male,Emergency,PhD,2,17,10,320,True
25,DOC0025,Michael,Huerta,Dr. Michael Huerta,Female,Emergency,MCh,5,8,5,689,True
26,DOC0026,John,Maddox,Dr. John Maddox,Male,Endocrinology,MCh,23,16,2,138,True
